Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,date
2020-01-30,1,1,0,0,0,0,2020-01-30
2020-01-31,0,1,0,0,0,0,2020-01-31
2020-02-01,0,1,0,0,0,0,2020-02-01
2020-02-02,1,2,0,0,0,0,2020-02-02
2020-02-03,1,3,0,0,0,0,2020-02-03
2020-02-04,0,3,0,0,0,0,2020-02-04
2020-02-05,0,3,0,0,0,0,2020-02-05
2020-02-06,0,3,0,0,0,0,2020-02-06
2020-02-07,0,3,0,0,0,0,2020-02-07
2020-02-08,0,3,0,0,0,0,2020-02-08
2020-02-09,0,3,0,0,0,0,2020-02-09
2020-02-10,0,3,0,0,0,0,2020-02-10
2020-02-11,0,3,0,0,0,0,2020-02-11
2020-02-12,0,3,0,0,0,0,2020-02-12
2020-02-13,0,3,1,1,0,0,2020-02-13
2020-02-14,0,3,0,1,0,0,2020-02-14
2020-02-15,0,3,0,1,0,0,2020-02-15
2020-02-16,0,3,1,2,0,0,2020-02-16
2020-02-17,0,3,0,2,0,0,2020-02-17
2020-02-18,0,3,0,2,0,0,2020-02-18
2020-02-19,0,3,0,2,0,0,2020-02-19
2020-02-20,0,3,1,3,0,0,2020-02-20
2020-02-21,0,3,0,3,0,0,2020-02-21
2020-02-22,0,3,0,3,0,0,2020-02-22
2020-02-23,0,3,0,3,0,0,2020-02-23
2020-02-24,0,3,0,3,0,0,2020-02-24
2020-02-25,0,3,0,3,0,0,2020-02-25
2020-02-26,0,3,0,3,0,0,2020-02-26
2020-02-27,0,3,0,3,0,0,2020-02-27
2020-02-28,0,3,0,3,0,0,2020-02-28
2020-02-29,0,3,0,3,0,0,2020-02-29
2020-03-01,0,3,0,3,0,0,2020-03-01
2020-03-02,2,5,0,3,0,0,2020-03-02
2020-03-03,1,6,0,3,0,0,2020-03-03
2020-03-04,22,28,0,3,0,0,2020-03-04
2020-03-05,2,30,0,3,0,0,2020-03-05
2020-03-06,1,31,0,3,0,0,2020-03-06
2020-03-07,3,34,0,3,0,0,2020-03-07
2020-03-08,5,39,0,3,0,0,2020-03-08
